replicate,dice,iou,pixel_precision,pixel_recall,specificity,pixel_accuracy
164,0.8546759373233244,0.7474187905639521,0.8597440899797593,0.8497337224237702,0.9601715619878322,0.9399353243230347
165,0.853765249936025,0.7456725053815647,0.8579461212249712,0.8497304185377362,0.9506856944136262,0.934195285561422
166,0.8539055138818052,0.7460829732319667,0.857353741505197,0.8505817155626235,0.9655275901593379,0.9458645729351326
167,0.8444182333329647,0.7353208028568496,0.8575977998108765,0.8377622083313259,0.9533612727537332,0.9295271779566712
168,0.8280911159619891,0.7153084728279607,0.8486006762386848,0.820521145462077,0.9453502217487081,0.917647756512765
169,0.8533825486491396,0.7452269290055422,0.8580400315055401,0.8488607222680874,0.9605769096049457,0.9402833849332702
170,0.846367892534152,0.7383745059869485,0.8598093998084972,0.8394558947311218,0.9657345952434447,0.9395378566574726
171,0.831445680884506,0.7201741325137649,0.8525835963932857,0.82326136100636,0.956532314379276,0.9241527413699191
172,0.8442089042911946,0.7353874092145457,0.856864710949705,0.8381235081379499,0.9670745599777643,0.9403693595527356
173,0.8470283770624707,0.7396453664094567,0.8606965024276864,0.8399237719040633,0.9644975701360547,0.9375694319372323
174,0.839463999690247,0.7282207056195276,0.8520159470912061,0.8334085902614217,0.9557405384054117,0.9297205202330078
175,0.8561249186547795,0.7489459658150822,0.8591766821249999,0.8531901082015572,0.9604210055290942,0.9423081604199759
176,0.8535479555100435,0.744998013713063,0.8581408368319876,0.8490695782021414,0.9511519513737224,0.9318920036585959
177,0.8580772104286942,0.7522766021734807,0.862515146244702,0.8537878568471392,0.954838060605435,0.9373644624974027
178,0.8546332088665669,0.7467678974499056,0.8587231865295553,0.8507123290378148,0.9580157310834113,0.9392320174739942
179,0.8430611704053397,0.7333473745914216,0.8553704206376707,0.8373062573122239,0.9588731691841184,0.9333107356831143
180,0.8521470716699006,0.7431345051059881,0.8566347092343944,0.8477997614072664,0.951732671017147,0.9330918092414368
181,0.8540487794734307,0.7459592171535531,0.8571091490143872,0.8511262283966425,0.9520690839548342,0.9339852586709202
182,0.854146551778168,0.746334684226031,0.8592096111688644,0.8492007726689037,0.9559502824306939,0.9351372669605188
183,0.8422325390185712,0.7324091047001937,0.8556451557568888,0.8353289595689688,0.9644276441545929,0.9367399488588763
